TimePeriod,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2022,CD,110,6,Central Harlem (CD10),189.6,191.0,"1,719"
2022,CD,111,6,East Harlem (CD11),175.3,172.6,"1,619"
2022,CD,112,6,Washington Heights and Inwood (CD12),46.2,45.3,674
2022,CD,201,6,Mott Haven and Melrose (CD1),253.8,253.1,"1,723"
2022,CD,202,6,Hunts Point and Longwood (CD2),153.4,153.3,596
2022,CD,203,6,Morrisania and Crotona (CD3),192.9,192.7,"1,199"
2022,CD,204,6,Highbridge and Concourse (CD4),124.4,124.2,"1,369"
2022,CD,205,6,Fordham and University Heights (CD5),137.0,139.0,"1,304"
2022,CD,206,6,Belmont and East Tremont (CD6),189.3,187.5,"1,115"
2022,CD,207,6,Kingsbridge Heights and Bedford (CD7),92.6,93.0,981
2022,CD,208,6,Riverdale and Fieldston (CD8),46.0,44.0,347
2022,CD,209,6,Parkchester and Soundview (CD9),90.5,89.5,"1,222"
2022,CD,210,6,Throgs Neck and Co-op City (CD10),56.8,53.2,506
2022,CD,211,6,Morris Park and Bronxdale (CD11),88.0,85.6,743
2022,CD,212,6,Williamsbridge and Baychester (CD12),130.6,126.6,"1,479"
2022,CD,301,6,Greenpoint and Williamsburg (CD1),47.7,42.7,641
2022,CD,302,6,Fort Greene and Brooklyn Heights (CD2),48.7,45.4,518
2022,CD,303,6,Bedford Stuyvesant (CD3),111.7,110.1,"1,240"
2022,CD,304,6,Bushwick (CD4),80.4,80.7,671
2022,CD,305,6,East New York and Starrett City (CD5),115.3,113.3,"1,462"
2022,CD,306,6,Park Slope and Carroll Gardens (CD6),34.8,31.3,281
2022,CD,307,6,Sunset Park (CD7),29.6,28.3,290
2022,CD,308,6,Crown Heights and Prospect Heights (CD8),82.1,79.6,608
2022,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),74.0,71.1,542
2022,CD,310,6,Bay Ridge and Dyker Heights (CD10),14.0,13.1,150
2022,CD,311,6,Bensonhurst (CD11),11.6,11.2,185
2022,CD,312,6,Borough Park (CD12),16.1,16.0,209
2022,CD,313,6,Coney Island (CD13),59.7,52.1,463
2022,CD,314,6,Flatbush and Midwood (CD14),44.4,43.7,540
2022,CD,315,6,Sheepshead Bay (CD15),13.9,13.3,184
2022,CD,316,6,Brownsville (CD16),196.4,190.1,"1,129"
2022,CD,317,6,East Flatbush (CD17),99.4,92.4,"1,114"
2022,CD,318,6,Flatlands and Canarsie (CD18),55.5,52.9,771
2022,CD,401,6,Long Island City and Astoria (CD1),36.5,35.9,569
2022,CD,402,6,Woodside and Sunnyside (CD2),12.5,11.9,148
2022,CD,403,6,Jackson Heights (CD3),20.1,19.4,267
2022,CD,404,6,Elmhurst and Corona (CD4),22.2,21.7,315
2022,CD,405,6,Ridgewood and Maspeth (CD5),26.2,25.1,307
2022,CD,406,6,Rego Park and Forest Hills (CD6),11.9,11.4,107
2022,CD,407,6,Flushing and Whitestone (CD7),12.4,10.7,235
2022,CD,408,6,Hillcrest and Fresh Meadows (CD8),26.2,25.1,307
2022,CD,409,6,Kew Gardens and Woodhaven (CD9),36.0,35.7,395
2022,CD,410,6,South Ozone Park and Howard Beach (CD10),34.1,33.1,318
2022,CD,411,6,Bayside and Little Neck (CD11),9.1,9.0,86
2022,CD,412,6,Jamaica and Hollis (CD12),62.4,60.1,"1,081"
2022,CD,413,6,Queens Village (CD13),36.5,33.8,521
2022,CD,414,6,Rockaway and Broad Channel (CD14),99.9,92.3,760
2022,CD,501,6,St. George and Stapleton (CD1),65.7,64.0,940
2022,CD,502,6,South Beach and Willowbrook (CD2),24.8,23.7,271
2022,CD,503,6,Tottenville and Great Kills (CD3),15.7,14.6,181
2022,UHF42,101,4,Kingsbridge - Riverdale,43.9,41.6,302
2022,UHF42,102,4,Northeast Bronx,99.8,94.4,"1,485"
2022,UHF42,103,4,Fordham - Bronx Pk,107.2,107.6,"2,019"
2022,UHF42,104,4,Pelham - Throgs Neck,82.3,80.6,"1,810"
2022,UHF42,105,4,Crotona - Tremont,160.2,160.8,"2,461"
2022,UHF42,106,4,High Bridge - Morrisania,168.4,168.0,"2,604"
2022,UHF42,107,4,Hunts Point - Mott Haven,184.4,183.9,"1,903"
2022,UHF42,201,4,Greenpoint,35.0,31.2,351
2022,UHF42,202,4,Downtown - Heights - Slope,40.9,38.4,826
2022,UHF42,203,4,Bedford Stuyvesant - Crown Heights,98.9,97.5,"2,657"
2022,UHF42,204,4,East New York,101.7,100.8,"1,506"
2022,UHF42,205,4,Sunset Park,34.2,33.6,308
2022,UHF42,206,4,Borough Park,17.5,17.2,397
2022,UHF42,207,4,East Flatbush - Flatbush,75.3,72.5,"1,690"
2022,UHF42,208,4,Canarsie - Flatlands,59.8,55.5,887
2022,UHF42,209,4,Bensonhurst - Bay Ridge,14.4,13.6,218
2022,UHF42,210,4,Coney Island - Sheepshead Bay,32.0,29.0,658
2022,UHF42,211,4,Williamsburg - Bushwick,91.3,89.0,"1,500"
2022,UHF42,301,4,Washington Heights,49.1,48.5,"1,006"
2022,UHF42,302,4,Central Harlem - Morningside Heights,143.9,143.9,"2,128"
2022,UHF42,303,4,East Harlem,165.8,163.1,"1,446"
2022,UHF42,304,4,Upper West Side,24.3,22.0,425
2022,UHF42,305,4,Upper East Side,15.5,14.3,254
2022,UHF42,306,4,Chelsea - Clinton,33.6,32.2,461
2022,UHF42,307,4,Gramercy Park - Murray Hill,16.3,15.3,185
2022,UHF42,308,4,Greenwich Village - SoHo,8.9,8.7,61
2022,UHF42,309,4,Union Square - Lower East Side,38.9,38.4,624
2022,UHF42,310,4,Lower Manhattan,24.0,21.4,115
2022,UHF42,401,4,Long Island City - Astoria,32.6,31.5,537
2022,UHF42,402,4,West Queens,22.8,22.2,801
2022,UHF42,403,4,Flushing - Clearview,12.7,11.2,233
2022,UHF42,404,4,Bayside - Little Neck,10.2,9.9,72
2022,UHF42,405,4,Ridgewood - Forest Hills,19.5,18.1,375
2022,UHF42,406,4,Fresh Meadows,18.8,17.6,139
2022,UHF42,407,4,Southwest Queens,33.7,33.0,711
2022,UHF42,408,4,Jamaica,51.6,49.5,"1,263"
2022,UHF42,409,4,Southeast Queens,32.2,30.3,525
2022,UHF42,410,4,Rockaways,83.0,76.3,760
2022,UHF42,501,4,Port Richmond,79.5,78.8,423
2022,UHF42,502,4,Stapleton - St. George,61.0,58.7,595
2022,UHF42,503,4,Willowbrook,21.0,19.3,146
2022,UHF42,504,4,South Beach - Tottenville,15.5,14.7,228
2022,Borough,1,1,Bronx,122.9,121.9,"12,789"
2022,Borough,2,1,Brooklyn,56.8,55.2,"11,161"
2022,Borough,3,1,Manhattan,52.0,50.6,"6,950"
2022,Borough,4,1,Queens,33.2,31.6,"5,809"
2022,Borough,5,1,Staten Island,38.7,36.5,"1,409"
2022,Citywide,1,0,New York City,58.7,57.2,"38,118"
2021,CD,101,6,Financial District (CD1),21.6,18.9,93
2021,CD,102,6,Greenwich Village and Soho (CD2),7.1,6.9,52
2021,CD,103,6,Lower East Side and Chinatown (CD3),46.8,45.3,647
2021,CD,104,6,Clinton and Chelsea (CD4),32.5,30.7,385
2021,CD,105,6,Midtown (CD5),26.0,25.0,131
2021,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),16.1,14.7,178
2021,CD,107,6,Upper West Side (CD7),22.6,19.8,338
2021,CD,108,6,Upper East Side (CD8),13.1,11.6,207
2021,CD,109,6,Morningside Heights and Hamilton Heights (CD9),67.0,65.2,570
2021,CD,110,6,Central Harlem (CD10),177.1,178.3,"1,596"
2021,CD,111,6,East Harlem (CD11),156.5,154.7,"1,475"
2021,CD,112,6,Washington Heights and Inwood (CD12),41.9,41.5,640
2021,CD,201,6,Mott Haven and Melrose (CD1),181.6,181.8,"1,282"
2021,CD,202,6,Hunts Point and Longwood (CD2),112.7,112.4,454
2021,CD,203,6,Morrisania and Crotona (CD3),155.8,156.1,998
2021,CD,204,6,Highbridge and Concourse (CD4),104.6,104.9,"1,189"
2021,CD,205,6,Fordham and University Heights (CD5),121.7,122.6,"1,190"
2021,CD,206,6,Belmont and East Tremont (CD6),166.6,164.7,"1,011"
2021,CD,207,6,Kingsbridge Heights and Bedford (CD7),62.6,63.3,689
2021,CD,208,6,Riverdale and Fieldston (CD8),36.1,34.6,278
2021,CD,209,6,Parkchester and Soundview (CD9),79.3,79.0,"1,103"
2021,CD,210,6,Throgs Neck and Co-op City (CD10),47.9,45.6,437
2021,CD,211,6,Morris Park and Bronxdale (CD11),69.2,67.4,594
2021,CD,212,6,Williamsbridge and Baychester (CD12),106.6,104.3,"1,220"
2021,CD,301,6,Greenpoint and Williamsburg (CD1),32.9,29.7,451
2021,CD,302,6,Fort Greene and Brooklyn Heights (CD2),40.5,36.9,426
2021,CD,303,6,Bedford Stuyvesant (CD3),100.3,99.1,"1,143"
2021,CD,304,6,Bushwick (CD4),73.0,72.8,617
2021,CD,305,6,East New York and Starrett City (CD5),75.8,74.9,987
2021,CD,306,6,Park Slope and Carroll Gardens (CD6),30.7,25.2,228
2021,CD,307,6,Sunset Park (CD7),29.8,29.1,302
2021,CD,308,6,Crown Heights and Prospect Heights (CD8),71.9,69.8,544
2021,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),61.6,58.7,457
2021,CD,310,6,Bay Ridge and Dyker Heights (CD10),10.9,9.7,112
2021,CD,311,6,Bensonhurst (CD11),7.5,7.1,118
2021,CD,312,6,Borough Park (CD12),8.4,8.3,110
2021,CD,313,6,Coney Island (CD13),43.5,37.7,338
2021,CD,314,6,Flatbush and Midwood (CD14),39.2,38.7,486
2021,CD,315,6,Sheepshead Bay (CD15),13.2,12.5,174
2021,CD,316,6,Brownsville (CD16),128.6,126.0,768
2021,CD,317,6,East Flatbush (CD17),74.5,70.2,867
2021,CD,318,6,Flatlands and Canarsie (CD18),44.5,43.0,639
2021,CD,401,6,Long Island City and Astoria (CD1),31.8,31.4,510
2021,CD,402,6,Woodside and Sunnyside (CD2),12.3,11.8,150
2021,CD,403,6,Jackson Heights (CD3),23.3,23.0,323
2021,CD,404,6,Elmhurst and Corona (CD4),22.0,21.7,322
2021,CD,405,6,Ridgewood and Maspeth (CD5),22.7,21.6,270
2021,CD,406,6,Rego Park and Forest Hills (CD6),12.3,10.8,103
2021,CD,407,6,Flushing and Whitestone (CD7),11.3,9.9,219
2021,CD,408,6,Hillcrest and Fresh Meadows (CD8),19.6,19.2,239
2021,CD,409,6,Kew Gardens and Woodhaven (CD9),39.8,39.6,447
2021,CD,410,6,South Ozone Park and Howard Beach (CD10),26.1,25.9,253
2021,CD,411,6,Bayside and Little Neck (CD11),5.9,5.6,54
2021,CD,412,6,Jamaica and Hollis (CD12),63.5,60.7,"1,118"
2021,CD,413,6,Queens Village (CD13),34.7,31.6,497
2021,CD,414,6,Rockaway and Broad Channel (CD14),89.2,83.1,699
2021,CD,501,6,St. George and Stapleton (CD1),57.4,56.0,822
2021,CD,502,6,South Beach and Willowbrook (CD2),24.0,21.7,249
2021,CD,503,6,Tottenville and Great Kills (CD3),12.1,11.4,144
2021,UHF42,101,4,Kingsbridge - Riverdale,35.2,33.5,249
2021,UHF42,102,4,Northeast Bronx,82.9,78.2,"1,266"
2021,UHF42,103,4,Fordham - Bronx Pk,74.9,75.7,"1,489"
2021,UHF42,104,4,Pelham - Throgs Neck,70.3,69.6,"1,593"
2021,UHF42,105,4,Crotona - Tremont,140.3,140.9,"2,190"
2021,UHF42,106,4,High Bridge - Morrisania,136.5,136.7,"2,159"
2021,UHF42,107,4,Hunts Point - Mott Haven,145.9,145.9,"1,499"
2021,UHF42,201,4,Greenpoint,22.6,20.1,221
2021,UHF42,202,4,Downtown - Heights - Slope,35.5,32.0,688
2021,UHF42,203,4,Bedford Stuyvesant - Crown Heights,77.0,76.0,"2,081"
2021,UHF42,204,4,East New York,70.6,70.4,"1,065"
2021,UHF42,205,4,Sunset Park,32.3,32.1,300
2021,UHF42,206,4,Borough Park,10.7,10.4,245
2021,UHF42,207,4,East Flatbush - Flatbush,65.4,63.1,"1,497"
2021,UHF42,208,4,Canarsie - Flatlands,42.0,39.8,657
2021,UHF42,209,4,Bensonhurst - Bay Ridge,9.3,8.6,143
2021,UHF42,210,4,Coney Island - Sheepshead Bay,25.4,23.0,535
2021,UHF42,211,4,Williamsburg - Bushwick,80.1,77.8,"1,335"
2021,UHF42,301,4,Washington Heights,42.0,41.7,909
2021,UHF42,302,4,Central Harlem - Morningside Heights,136.2,136.6,"1,991"
2021,UHF42,303,4,East Harlem,152.6,150.7,"1,355"
2021,UHF42,304,4,Upper West Side,21.5,19.4,356
2021,UHF42,305,4,Upper East Side,13.8,12.2,208
2021,UHF42,306,4,Chelsea - Clinton,36.5,35.3,487
2021,UHF42,307,4,Gramercy Park - Murray Hill,18.3,16.3,193
2021,UHF42,308,4,Greenwich Village - SoHo,8.0,8.0,54
2021,UHF42,309,4,Union Square - Lower East Side,39.2,38.2,607
2021,UHF42,310,4,Lower Manhattan,33.1,28.7,148
2021,UHF42,401,4,Long Island City - Astoria,29.9,28.9,497
2021,UHF42,402,4,West Queens,23.2,22.9,842
2021,UHF42,403,4,Flushing - Clearview,11.7,10.3,218
2021,UHF42,404,4,Bayside - Little Neck,6.0,5.9,44
2021,UHF42,405,4,Ridgewood - Forest Hills,17.5,16.1,339
2021,UHF42,406,4,Fresh Meadows,16.8,16.1,125
2021,UHF42,407,4,Southwest Queens,31.6,31.2,696
2021,UHF42,408,4,Jamaica,48.3,46.4,"1,214"
2021,UHF42,409,4,Southeast Queens,32.8,29.8,530
2021,UHF42,410,4,Rockaways,74.9,69.5,699
2021,UHF42,501,4,Port Richmond,75.0,75.2,404
2021,UHF42,502,4,Stapleton - St. George,48.4,45.7,467
2021,UHF42,503,4,Willowbrook,21.3,18.6,141
2021,UHF42,504,4,South Beach - Tottenville,13.8,13.0,203
2021,Borough,1,1,Bronx,99.3,98.9,"10,641"
2021,Borough,2,1,Brooklyn,44.9,43.9,"8,997"
2021,Borough,3,1,Manhattan,49.7,48.2,"6,515"
2021,Borough,4,1,Queens,29.9,28.6,"5,358"
2021,Borough,5,1,Staten Island,33.7,31.6,"1,227"
2021,Citywide,1,0,New York City,49.7,48.6,"32,738"
2020,CD,101,6,Financial District (CD1),17.9,14.6,80
2020,CD,102,6,Greenwich Village and Soho (CD2),9.8,9.7,81
2020,CD,103,6,Lower East Side and Chinatown (CD3),44.9,43.9,661
2020,CD,104,6,Clinton and Chelsea (CD4),28.6,26.6,364
2020,CD,105,6,Midtown (CD5),21.5,20.0,116
2020,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),11.9,11.3,150
2020,CD,107,6,Upper West Side (CD7),21.3,20.7,382
2020,CD,108,6,Upper East Side (CD8),11.2,10.1,198
2020,CD,109,6,Morningside Heights and Hamilton Heights (CD9),53.7,52.3,480
2020,CD,110,6,Central Harlem (CD10),166.2,164.8,"1,504"
2020,CD,111,6,East Harlem (CD11),155.5,154.2,"1,510"
2020,CD,112,6,Washington Heights and Inwood (CD12),32.2,31.9,509
2020,CD,201,6,Mott Haven and Melrose (CD1),202.4,202.2,"1,457"
2020,CD,202,6,Hunts Point and Longwood (CD2),111.5,111.4,460
2020,CD,203,6,Morrisania and Crotona (CD3),154.0,155.6,"1,018"
2020,CD,204,6,Highbridge and Concourse (CD4),114.4,116.4,"1,349"
2020,CD,205,6,Fordham and University Heights (CD5),108.7,108.9,"1,082"
2020,CD,206,6,Belmont and East Tremont (CD6),151.1,150.5,946
2020,CD,207,6,Kingsbridge Heights and Bedford (CD7),67.0,67.8,757
2020,CD,208,6,Riverdale and Fieldston (CD8),25.9,25.4,211
2020,CD,209,6,Parkchester and Soundview (CD9),77.9,78.1,"1,113"
2020,CD,210,6,Throgs Neck and Co-op City (CD10),43.3,40.5,402
2020,CD,211,6,Morris Park and Bronxdale (CD11),58.7,57.1,520
2020,CD,212,6,Williamsbridge and Baychester (CD12),90.9,89.1,"1,069"
2020,CD,301,6,Greenpoint and Williamsburg (CD1),38.5,33.6,536
2020,CD,302,6,Fort Greene and Brooklyn Heights (CD2),36.7,32.8,394
2020,CD,303,6,Bedford Stuyvesant (CD3),108.8,107.8,"1,270"
2020,CD,304,6,Bushwick (CD4),77.6,77.1,668
2020,CD,305,6,East New York and Starrett City (CD5),101.2,100.7,"1,346"
2020,CD,306,6,Park Slope and Carroll Gardens (CD6),32.9,27.7,263
2020,CD,307,6,Sunset Park (CD7),26.7,25.1,267
2020,CD,308,6,Crown Heights and Prospect Heights (CD8),77.9,75.8,607
2020,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),57.1,55.6,442
2020,CD,310,6,Bay Ridge and Dyker Heights (CD10),9.0,8.6,103
2020,CD,311,6,Bensonhurst (CD11),9.1,8.9,153
2020,CD,312,6,Borough Park (CD12),7.6,7.4,102
2020,CD,313,6,Coney Island (CD13),39.9,37.8,349
2020,CD,314,6,Flatbush and Midwood (CD14),36.6,36.2,468
2020,CD,315,6,Sheepshead Bay (CD15),11.0,10.4,150
2020,CD,316,6,Brownsville (CD16),170.5,168.2,"1,040"
2020,CD,317,6,East Flatbush (CD17),73.3,69.4,868
2020,CD,318,6,Flatlands and Canarsie (CD18),49.8,48.6,740
2020,CD,401,6,Long Island City and Astoria (CD1),26.5,25.4,430
2020,CD,402,6,Woodside and Sunnyside (CD2),10.2,9.8,128
2020,CD,403,6,Jackson Heights (CD3),18.4,18.0,258
2020,CD,404,6,Elmhurst and Corona (CD4),18.9,18.8,283
2020,CD,405,6,Ridgewood and Maspeth (CD5),22.7,22.1,288
2020,CD,406,6,Rego Park and Forest Hills (CD6),14.0,12.8,126
2020,CD,407,6,Flushing and Whitestone (CD7),10.0,8.9,200
2020,CD,408,6,Hillcrest and Fresh Meadows (CD8),20.8,19.5,248
2020,CD,409,6,Kew Gardens and Woodhaven (CD9),28.1,28.2,326
2020,CD,410,6,South Ozone Park and Howard Beach (CD10),26.5,26.1,261
2020,CD,411,6,Bayside and Little Neck (CD11),4.4,4.2,42
2020,CD,412,6,Jamaica and Hollis (CD12),58.7,57.5,"1,071"
2020,CD,413,6,Queens Village (CD13),30.0,28.0,447
2020,CD,414,6,Rockaway and Broad Channel (CD14),76.6,72.2,625
2020,CD,501,6,St. George and Stapleton (CD1),58.9,57.4,834
2020,CD,502,6,South Beach and Willowbrook (CD2),26.0,24.8,283
2020,CD,503,6,Tottenville and Great Kills (CD3),12.9,11.7,149
2020,UHF42,101,4,Kingsbridge - Riverdale,25.4,24.7,189
2020,UHF42,102,4,Northeast Bronx,67.0,62.6,"1,039"
2020,UHF42,103,4,Fordham - Bronx Pk,75.6,76.3,"1,550"
2020,UHF42,104,4,Pelham - Throgs Neck,65.6,65.3,"1,554"
2020,UHF42,105,4,Crotona - Tremont,129.3,130.0,"2,046"
2020,UHF42,106,4,High Bridge - Morrisania,150.5,151.9,"2,454"
2020,UHF42,107,4,Hunts Point - Mott Haven,149.7,150.0,"1,552"
2020,UHF42,201,4,Greenpoint,25.0,21.3,247
2020,UHF42,202,4,Downtown - Heights - Slope,35.7,31.8,719
2020,UHF42,203,4,Bedford Stuyvesant - Crown Heights,90.5,89.6,"2,485"
